id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
573072034648033150,"S. End Studio w/ W/D & Gym, nr SoWa District",107434423,Blueground,,South End,42.33856,-71.06907,Entire home/apt,196,32,0,,,477,322,0,
573204537235255385,Economy 2 Bed w/ Free Parking near Kendall Square,43450256,Steve,,Charlestown,42.36914,-71.08184,Entire home/apt,122,1,20,2022-08-24,3.57,25,335,20,
573306502070667140,Comfy Stylish Private Room near Harvard/BU/ Northeastern/Fenway,2356643,MyBostonTrip,,Allston,42.35066398526052,-71.12119448902133,Private room,59,25,1,2022-04-30,0.22,71,92,1,
573306548682057964,"Elegant Private Room with Huge Closet, Co-living, mins walk to BU",2356643,MyBostonTrip,,Allston,42.34923111322999,-71.1213921026053,Private room,59,25,0,,,71,93,0,
573397879029683911,(T7) NEW Cozy South End Studio!,331225367,Stone,,South End,42.34133,-71.0755,Entire home/apt,241,1,22,2022-08-20,3.51,65,49,22,Exempt: This listing is a unit that has contracts with hospitals
573748093688005531,"Brookline 1BR w/ Gym, next to Brookline Village T",107434423,Blueground,,Mission Hill,42.33324,-71.11445,Entire home/apt,202,32,0,,,477,333,0,
573750610076955959,"E. Cambridge 1BR w/ Gym & W/D, nr Lechmere Station",107434423,Blueground,,Charlestown,42.37303,-71.07859,Entire home/apt,295,32,0,,,477,136,0,""
573888797577982081,Thatch Quarters™ | Pvt. Room in Southie | 101 DOT,814298,Thatch,,South Boston,42.33672,-71.04591,Private room,120,1,10,2022-08-01,1.82,113,100,10,Exempt: This listing is a hotel or motel
574643451295445957,Lovely 3 Bedroom - Near Harvard/MIT/- Parking,93537293,Kenia,,Charlestown,42.3848,-71.09147,Entire home/apt,290,1,36,2022-08-28,5.78,2,216,36,
574756619255995187,Lovely 2 bedroom condo close to Harvard/w.parking,78955231,Eduardo,,Allston,42.38673,-71.11532,Entire home/apt,254,1,39,2022-09-09,7.85,2,208,39,
574763198852585805,Sun-Filled Top Floor 1Bed w/ City Views,31340713,Kama,,Brighton,42.33808,-71.14987,Entire home/apt,150,30,1,2022-08-03,0.68,50,211,1,
575162931455170111,2BR in desirable & quiet area. nr.grocery & T-stop,107434423,Blueground,,Brighton,42.33687,-71.13292,Entire home/apt,402,32,0,,,477,0,0,
575163290642313654,New Allston development 1BR w. W/D,107434423,Blueground,,Allston,42.35297,-71.12965,Entire home/apt,192,32,0,,,477,341,0,
575165434168387705,"Allston 1BR w/ W/D, nr BU & Packards Corner",107434423,Blueground,,Allston,42.3527433,-71.12187410000001,Entire home/apt,190,32,0,,,477,242,0,
575165718313349575,"CheStationut Hill 2BR w/ W/D, residential area",107434423,Blueground,,West Roxbury,42.2960777,-71.1554412,Entire home/apt,245,32,0,,,477,355,0,
575166206846071221,"CheStationut Hill 2BR w/ W/D, residential area",107434423,Blueground,,West Roxbury,42.29689779999999,-71.1570739,Entire home/apt,227,32,1,2022-07-11,0.45,477,365,1,
575194687782661541,Cozy Studio with everything you need!,409684302,Justin And Mandy,,South End,42.34222,-71.0805,Entire home/apt,259,1,11,2022-09-11,1.75,32,327,11,Exempt: This listing is a unit used for furnished institutional or business stays
575197158772194981,Bright Studio in Gorgeous Brownstone,409684302,Justin And Mandy,,South End,42.34282,-71.07915,Entire home/apt,241,1,29,2022-09-03,4.63,32,325,29,STR-457097
575336189867925920,Thatch Quarters™ | Pvt. Room in Southie | #202,814298,Thatch,,South Boston,42.34201,-71.05557,Private room,125,1,3,2022-06-29,0.48,113,76,3,Exempt: This listing is a hotel or motel
575375554573801359,Spacious Dorchester Retreat | 2-bdrm condo,59224820,Marian,,Dorchester,42.31606789929387,-71.07183745720587,Entire home/apt,185,2,1,2022-09-06,1,1,202,1,STR-489341
575430952828461152,M6 Private room Walk to Harvard MIT and T station,447943889,Lynn,,Allston,42.37348,-71.10652,Private room,119,1,25,2022-09-01,4.66,2,162,25,STR-15516
575446939554069001,Sun-Filled Top Floor 1Bed w/ City Views,266312920,STARS Of,,Brighton,42.33608,-71.14968,Entire home/apt,150,30,0,,,52,211,0,
576330061675822951,"Cozy, private bedroom in beautiful Boston house",380867321,Jane,,West Roxbury,42.2761789476483,-71.16087369236018,Private room,60,5,3,2022-08-24,1.13,1,318,3,STR-476788
576735653950309066,Beautiful Condo near Harvard and Subway,78955231,Eduardo,,Allston,42.38537,-71.11402,Entire home/apt,302,1,28,2022-09-10,5.32,2,200,28,
577093755825945609,Stay Next to Public Garden | Back Bay |MGH,232009663,Annie,,Beacon Hill,42.35663965205351,-71.07152035643847,Private room,154,29,1,2022-03-11,0.16,4,153,1,
577267305218637550,Harvard Allston Campus - Luxury and Convenient,8441226,Justin,,Allston,42.36236,-71.133,Entire home/apt,302,1,29,2022-08-26,5.24,4,276,29,STR-418699
577377808709126794,MODERN MASSIVE LARGE GROUP 3800sf MIT HARVARD BOS,166246917,Flavia,,Charlestown,42.38517,-71.09159,Entire home/apt,999,1,0,,,3,104,0,
577524733457245107,NEW! Mod Boston Condo w/ Home Office & Video Games,122377513,Evolve,,Jamaica Plain,42.2878,-71.11789,Entire home/apt,197,2,3,2022-07-03,0.56,6,0,3,STR-465204
577559184783487910,Thatch Quarters™ | Pvt. Room in Southie | #203,814298,Thatch,,South Boston,42.34181,-71.05633,Private room,125,1,5,2022-06-23,1.09,113,83,5,Exempt: This listing is a hotel or motel
577611339928669096,Thatch Quarters™ | Pvt. Room in Southie | 204,814298,Thatch,,South Boston Waterfront,42.34343,-71.05575,Private room,125,1,10,2022-07-09,1.89,113,77,10,Exempt: This listing is a hotel or motel
577685294725125045,Thatch Quarters™ | Pvt. Room in Southie | 205,814298,Thatch,,South Boston,42.34182,-71.05615,Private room,125,1,13,2022-07-18,2.22,113,81,13,Exempt: This listing is a hotel or motel
577711068119608643,Thatch Quarters™ | Pvt. Room in Southie | 206,814298,Thatch,,South Boston Waterfront,42.34353,-71.05614,Private room,125,1,15,2022-07-12,2.56,113,77,15,Exempt: This listing is a hotel or motel
578114881460921853,Boston Studio on Newbury w/ A+ shopping & dining,107434423,Blueground,,Back Bay,42.3496611,-71.0814631,Entire home/apt,195,32,0,,,477,317,0,
578117391619038483,"S. End Studio w/ Gym & Pool, nr Mass Ave T",107434423,Blueground,,Roxbury,42.33884,-71.08177,Entire home/apt,189,32,0,,,477,333,0,
578342327320987571,Master Bedroom in 3BR between MIT and Harvard,21631889,Ling Yi,,Back Bay,42.36869,-71.09665,Private room,120,90,0,,,14,132,0,
578364200954146940,Thatch Quarters™ | Pvt. Room in Southie | 303,814298,Thatch,,South Boston Waterfront,42.34348,-71.05594,Private room,125,1,2,2022-04-11,0.36,113,87,2,Exempt: This listing is a hotel or motel
578392527449087828,Thatch Quarters™ | Pvt. Room in Southie | 302,814298,Thatch,,South Boston,42.34241,-71.05772,Private room,125,1,10,2022-09-05,2.97,113,79,10,Exempt: This listing is a hotel or motel
